"","Habitat","Species","N","avgRELDEN","semRELDEN","avgRELBA","semRELBA","avgRELFREQ","semRELFREQ","avgIV","semIV"
"1","Decid","Cedar",2,6.16666666666667,2.16666666666667,3.48865592259828,1.87132938412389,8.46560846560847,1.05820105820106,18.1209310548734,2.9797949925895
"2","Decid","Hemlock",2,30.4583333333333,7.54166666666667,45.7597088586465,7.94594615508337,21.1640211640212,2.64550264550264,97.382063356001,18.1331154672527
"3","Decid","Red maple",2,41.875,1.875,22.1969356543582,3.55915593374022,33.3333333333333,0,97.4052689876916,5.43415593374021
"4","Decid","Red pine",1,4,NA,3.03006848218636,NA,9.52380952380952,NA,16.5538780059959,NA
"5","Decid","Sugar maple",2,12.2916666666667,2.29166666666667,13.3512517511513,1.87825064915547,18.2539682539683,3.96825396825397,43.8968866717862,4.38166998576516
"6","Decid","White ash",1,2.08333333333333,NA,3.13456593608424,NA,3.7037037037037,NA,8.92160297312128,NA
"7","Decid","White pine",2,3.08333333333333,1.08333333333333,10.2360039654353,4.21544699575001,6.08465608465608,1.32275132275132,19.4039933834247,6.62153165183466
"8","Decid","Yellow birch",2,3.08333333333333,1.08333333333333,1.88512663867513,0.126015763675792,6.08465608465608,1.32275132275132,11.0531160566645,2.53210041976045
"9","Hem","American beech",1,6,NA,0.733261085368776,NA,4.16666666666667,NA,10.8999277520354,NA
"10","Hem","American elm",1,2,NA,0.286269658950345,NA,4.54545454545455,NA,6.83172420440489,NA
"11","Hem","Black ash",1,2,NA,0.692701890793426,NA,4.54545454545455,NA,7.23815643624797,NA
"12","Hem","Cedar",1,2,NA,0.353419332037463,NA,4.54545454545455,NA,6.89887387749201,NA
"13","Hem","Hemlock",2,60,2,46.3568890025629,5.57101345370142,43.5606060606061,1.89393939393939,149.917495063169,9.46495284764082
"14","Hem","Red maple",2,21,5,25.7710296482198,17.1906243542541,26.3257575757576,5.49242424242424,73.0967872239774,27.6830485966783
"15","Hem","Shagbark hickory",1,2,NA,2.73506909975821,NA,4.16666666666667,NA,8.90173576642487,NA
"16","Hem","Silver maple",1,2,NA,4.22354962081488,NA,4.16666666666667,NA,10.3902162874816,NA
"17","Hem","Sugar maple",1,4,NA,3.19767260935998,NA,8.33333333333333,NA,15.5310059426933,NA
"18","Hem","White ash",1,4,NA,3.18077398833716,NA,4.54545454545455,NA,11.7262285337917,NA
"19","Hem","White pine",1,8,NA,38.8539880565246,NA,8.33333333333333,NA,55.1873213898579,NA
"20","Hem","Yellow birch",2,3,1,0.743728678244841,0.146450007101529,6.43939393939394,1.89393939393939,10.1831226176388,3.04038940104092
"21","Pine","American beech",2,17,1,4.63482307422583,1.05549287268014,19.2226890756302,1.36554621848739,40.8575121498561,3.42103909116753
"22","Pine","Black cherry",2,2,0,3.00824612101104,1.11401972307196,3.2563025210084,0.315126050420168,8.26454864201945,0.798893672651794
"23","Pine","Hemlock",1,2,NA,0.303076223670253,NA,3.57142857142857,NA,5.87450479509882,NA
"24","Pine","Red maple",2,30,2,17.0892283826096,5.52631942766472,23.9495798319328,2.52100840336134,71.0388082145423,1.00531102430337
"25","Pine","Red oak",2,4,2,0.430871452364325,0.00555830972083979,4.72689075630252,1.15546218487395,9.15776220866685,3.14990387515311
"26","Pine","Red pine",2,13,9,28.919166811788,16.7809640537944,12.0798319327731,8.50840336134454,53.9989987445611,34.2893674151389
"27","Pine","Scots pine",2,15,3,39.9478194985893,14.6907621046839,16.5966386554622,4.83193277310924,71.5444581540515,22.5226948777932
"28","Pine","Sugar maple",2,14,8,4.43857105594867,2.27763758117977,13.3403361344538,4.51680672268908,31.7789071904024,10.2391691415093
"29","Pine","White Oak",1,6,NA,2.23367176844976,NA,7.14285714285714,NA,15.3765289113069,NA
"30","Pine","White pine",1,2,NA,0.525799214806506,NA,2.94117647058824,NA,5.46697568539474,NA
