"","Habitat","Transect","Species","number"
"1","Deciduous",1,"Peromyscus maniculatus",4
"2","Deciduous",2,"Myodes gapperi",6
"3","Deciduous",2,"Peromyscus maniculatus",8
"4","Hemlock",1,"Glaucomys volans",1
"5","Hemlock",1,"Myodes gapperi",4
"6","Hemlock",1,"Peromyscus maniculatus",2
"7","Hemlock",1,"Sorex spp.",1
"8","Hemlock",2,"Blarina brevicauda",1
"9","Hemlock",2,"Myodes gapperi",2
"10","Hemlock",2,"Peromyscus maniculatus",9
"11","Hemlock",2,"Tamiasciurus hudsonicus",1
"12","Pine",1,"Glaucomys volans",4
"13","Pine",1,"Peromyscus maniculatus",2
"14","Pine",1,"Tamiasciurus hudsonicus",3
"15","Pine",2,"Blarina brevicauda",1
"16","Pine",2,"Glaucomys volans",3
"17","Pine",2,"Peromyscus maniculatus",3
"18","Pine",2,"Tamiasciurus hudsonicus",1
